date,actual_return,hs_var,param_var,hs_exception,param_exception
2005-12-19,-0.0034726065314561,-0.012556951865177702,-0.012762826979751596,False,False
2005-12-20,-0.0027257467396335,-0.012556951865177702,-0.012706038696311902,False,False
2005-12-21,0.0060154854688533,-0.012556951865177702,-0.012636434226996302,False,False
2005-12-22,0.0044803093770994,-0.012556951865177702,-0.01263446131237621,False,False
2005-12-23,0.0016486834871325,-0.012556951865177702,-0.012602563700807258,False,False
2005-12-26,-0.0004303163413834,-0.012556951865177702,-0.012612163827509378,False,False
2005-12-27,-0.0037061274069855,-0.012556951865177702,-0.01264201097470952,False,False
2005-12-28,0.0085847445067844,-0.012556951865177702,-0.012637102874047804,False,False
2005-12-29,-4.295498162542439e-05,-0.012556951865177702,-0.012643050719785151,False,False
2005-12-30,0.0003457905964452,-0.012556951865177702,-0.012648603286314694,False,False
2006-01-02,-0.0003051882739121,-0.012556951865177702,-0.012647227942884844,False,False
2006-01-03,0.0262477983528457,-0.012556951865177702,-0.013078849359346133,False,False
2006-01-04,0.0055441916805419,-0.012556951865177702,-0.012965231595819183,False,False
2006-01-05,-0.0039909642908244,-0.012556951865177702,-0.012925450628220165,False,False
2006-01-06,0.0157635043031515,-0.012556951865177702,-0.01302584679071567,False,False
2006-01-09,0.0033248068018122,-0.012556951865177702,-0.01301991452841552,False,False
2006-01-10,-0.0045458226156544,-0.012556951865177702,-0.013066851419003735,False,False
2006-01-11,0.0072904665732878,-0.012556951865177702,-0.013078186654625885,False,False
2006-01-12,-0.0055184387181411,-0.012556951865177702,-0.013131305337396587,False,False
2006-01-13,0.0047777869794006,-0.012556951865177702,-0.013083601465694194,False,False
2006-01-16,-0.0003329488505096,-0.012556951865177702,-0.013090085151805061,False,False
2006-01-17,0.0004197162956422,-0.012556951865177702,-0.013085183865557872,False,False
2006-01-18,-0.0069797432190808,-0.012556951865177702,-0.013161175924075104,False,False
2006-01-19,0.0153381379151007,-0.012556951865177702,-0.01322259236690176,False,False
2006-01-20,-0.0090418028871916,-0.012556951865177702,-0.013341233646767463,False,False
2006-01-23,0.0103666076892296,-0.012556951865177702,-0.013314444101854749,False,False
2006-01-24,0.0004928907223131,-0.012556951865177702,-0.013317080161429795,False,False
2006-01-25,-0.0011461153821052,-0.012556951865177702,-0.013310878975286634,False,False
2006-01-26,0.00596727447286,-0.012556951865177702,-0.013280191441589151,False,False
2006-01-27,0.0060140882362384,-0.012556951865177702,-0.013280041415778425,False,False
2006-01-30,0.0037720615645825,-0.012556951865177702,-0.013276164278535355,False,False
2006-01-31,-0.0009932289821069,-0.012556951865177702,-0.013288659764833106,False,False
2006-02-01,-0.0020562883379652,-0.012556951865177702,-0.013311027534182574,False,False
2006-02-02,-0.0118121003953799,-0.012556951865177702,-0.013450052368283973,False,False
2006-02-03,-0.005051920881712,-0.012556951865177702,-0.01350042811374587,False,False
2006-02-06,0.0048584189381764,-0.012556951865177702,-0.013493575786667003,False,False
2006-02-07,-0.0199536011398793,-0.014814746222314856,-0.01387603784169907,True,True
2006-02-08,0.0025349467237773,-0.014814746222314856,-0.013874781457269267,False,False
2006-02-09,0.0054133395367846,-0.014814746222314856,-0.013875834815007445,False,False
2006-02-10,-0.0077465170963924,-0.014814746222314856,-0.013946206819628472,False,False
2006-02-13,-0.0108844610930536,-0.014814746222314856,-0.014076075379840026,False,False
2006-02-14,0.0069072785888654,-0.014814746222314856,-0.014078296848097551,False,False
2006-02-15,-0.0078399738136294,-0.014814746222314856,-0.014162062399234995,False,False
2006-02-16,0.0123950931987251,-0.014814746222314856,-0.014218774995473728,False,False
2006-02-17,0.0045704362032259,-0.014814746222314856,-0.014184546214752942,False,False
2006-02-20,-0.000100281235547,-0.014814746222314856,-0.014191391377238814,False,False
2006-02-21,0.000913837324813,-0.014814746222314856,-0.014195276198670118,False,False
2006-02-22,0.0034210142416357,-0.014814746222314856,-0.014159170019732936,False,False
2006-02-23,-0.0041330178231483,-0.014814746222314856,-0.014168989518069124,False,False
2006-02-24,0.0099858070026021,-0.014814746222314856,-0.014197496463240271,False,False
2006-02-27,-0.0045608119968946,-0.014814746222314856,-0.014227520957923375,False,False
2006-02-28,-0.0030700716130374,-0.014814746222314856,-0.014167796254477812,False,False
2006-03-01,0.0094532022628825,-0.014814746222314856,-0.014194017792150957,False,False
2006-03-02,0.0072249840502558,-0.014814746222314856,-0.014202598284643075,False,False
2006-03-03,-0.0055633375477785,-0.014814746222314856,-0.014245113682887217,False,False
2006-03-06,-0.0116010228513831,-0.014814746222314856,-0.014282186110609794,False,False
2006-03-07,-0.0122484265299284,-0.014814746222314856,-0.014301383918685042,False,False
2006-03-08,-0.0051713080732079,-0.014814746222314856,-0.014216171801067079,False,False
2006-03-09,-0.0022289725801562,-0.014814746222314856,-0.01423779375487755,False,False
2006-03-10,0.0042992444180927,-0.014814746222314856,-0.014231640910199395,False,False
2006-03-13,0.0072884068312688,-0.014814746222314856,-0.014232748092310387,False,False
2006-03-14,0.0151684772017452,-0.014814746222314856,-0.014266085330462032,False,False
2006-03-15,0.0029687773582519,-0.014814746222314856,-0.014251219642895425,False,False
2006-03-16,0.0042726082253156,-0.014814746222314856,-0.014242434114053043,False,False
2006-03-17,-0.0008525294475144,-0.014814746222314856,-0.014255781545483997,False,False
2006-03-20,-0.0052483111178004,-0.014814746222314856,-0.0142931572925851,False,False
2006-03-21,-0.0075175053233533,-0.014814746222314856,-0.01436647583932076,False,False
2006-03-22,0.0063089404977696,-0.014814746222314856,-0.014372118532005543,False,False
2006-03-23,0.0011047457710963,-0.014814746222314856,-0.014357731359579847,False,False
2006-03-24,0.0072173421918477,-0.014814746222314856,-0.014319551735629493,False,False
