Date,portfolio_return
2005-01-04,-0.007114616112273554
2005-01-05,-0.006677371943414924
2005-01-06,0.005153496608484982
2005-01-07,-0.003343968974628839
2005-01-10,0.0024217413769748765
2005-01-11,1.9869883779893502e-05
2005-01-12,0.009098144721795199
2005-01-13,0.0015579066632910683
2005-01-14,0.003582985793720568
2005-01-17,-0.000549146784086466
2005-01-18,0.002366585450768709
2005-01-19,-0.00898083770741089
2005-01-20,-0.006874969394260072
2005-01-21,0.008677260272671617
2005-01-24,0.0005624203520355181
2005-01-25,0.0019028696756894544
2005-01-26,0.004530413971833368
2005-01-27,0.00013436345836679897
2005-01-28,-0.0046319461876416935
2005-01-31,0.005550475063941017
2005-02-01,-0.000513028092756523
2005-02-02,0.00036760732724034793
2005-02-03,-0.004743175805684287
2005-02-04,0.004047462338413941
2005-02-07,-0.00575940317159411
2005-02-08,0.0011537900701681166
2005-02-09,-0.0019575301091230204
2005-02-10,0.010216539112099188
2005-02-11,0.0060509007885623835
2005-02-14,0.005660965222259109
2005-02-15,0.0016675746633943503
2005-02-16,0.0027290480316395707
2005-02-17,-0.003657668084327919
2005-02-18,0.005403903585605739
2005-02-21,-5.684706592669783e-05
2005-02-22,0.009261937746367233
2005-02-23,0.0017752542555654134
2005-02-24,0.005058659948869347
2005-02-25,0.008395329419781387
2005-02-28,-0.0017548013090117164
2005-03-01,-9.43338069225451e-05
2005-03-02,0.0001804095051292829
2005-03-03,0.0004972745037478151
2005-03-04,0.010178390550464095
2005-03-07,0.0018951651885922116
2005-03-08,0.0033092847491978635
2005-03-09,-0.003772677831127076
2005-03-10,-0.0031683332907240305
2005-03-11,0.0006612169111128866
2005-03-14,-0.0012616587902853553
2005-03-15,-0.0077419542977846265
2005-03-16,0.001795299454985131
2005-03-17,0.0014752888320723617
2005-03-18,-0.0012691545141596745
2005-03-21,-0.00979436249333059
2005-03-22,-0.01138042752549963
2005-03-23,-0.01040764316504454
2005-03-24,0.002135582046165023
2005-03-25,0.0002795904791951218
2005-03-28,-0.0003674335660489555
2005-03-29,-0.00615295107652389
2005-03-30,0.008027860901664602
2005-03-31,0.007024626683617841
2005-04-01,0.0032010111491841383
2005-04-04,-0.0014541951416668195
2005-04-05,-0.0008700046441688346
2005-04-06,0.00420305645733624
2005-04-07,-0.0016063074872624105
2005-04-08,-0.004739210984199469
2005-04-11,0.0002311501163125558
2005-04-12,-0.0015753580366127382
2005-04-13,-0.012157360271604342
2005-04-14,-0.010567005904591396
2005-04-15,-0.009069745976518714
2005-04-18,0.005990755634640076
2005-04-19,0.01459558253982704
2005-04-20,-0.007754813390168078
2005-04-21,0.014971770921343743
2005-04-22,0.0009917918324604622
2005-04-25,0.0029281286830744905
2005-04-26,-0.00518950331022138
2005-04-27,-0.01075854721883409
2005-04-28,-0.007648966081652763
2005-04-29,0.003271379473336545
2005-05-02,0.004051720414323547
2005-05-03,-0.0039999453377670535
2005-05-04,0.010968519938716774
2005-05-05,0.00314552299742422
2005-05-06,-0.0035293492243722527
2005-05-09,0.005807407206726574
2005-05-10,-0.0067572429857163975
2005-05-11,-0.0027874050938735827
2005-05-12,-0.016615134027895898
2005-05-13,-0.004028660760832571
2005-05-16,0.004914798426464877
2005-05-17,0.0026183272459747832
2005-05-18,0.0034832954887042125
2005-05-19,5.793282386808672e-05
2005-05-20,-0.00382388350007522
2005-05-23,0.009719567894475034
2005-05-24,0.000756939846431052
2005-05-25,0.0032777402696434754
2005-05-26,0.0020477339966459432
