Date,garch_vol,gjr_vol,garch_var,gjr_var
2005-01-04,0.005186085911702918,0.005159369626674254,-0.011783491604514931,-0.01172134023163623
2005-01-05,0.005518225884729618,0.00567424199164081,-0.012556164724649578,-0.012919112463278558
2005-01-06,0.005747908742599229,0.00604210935374489,-0.013090486952758171,-0.013774899919038396
2005-01-07,0.005723417905907277,0.005895670315079416,-0.013033512746886368,-0.013434231772762387
2005-01-10,0.005636102601034618,0.0058660140453613814,-0.01283038697302463,-0.013365240972751855
2005-01-11,0.005471261308776778,0.005693236522040199,-0.012446908783226459,-0.012963300348691581
2005-01-12,0.005286770653342815,0.005524907275368244,-0.012017719339177259,-0.012571707963557381
2005-01-13,0.005750276183854616,0.005527172302467943,-0.013095994444689557,-0.012576977204535413
2005-01-14,0.00555415025472891,0.005369027745613883,-0.012639737306423687,-0.012209077950906838
2005-01-17,0.005446495987339726,0.005239838135036073,-0.012389296030351434,-0.011908537974990984
2005-01-18,0.005270775108904507,0.005108981755201629,-0.011980508138379075,-0.011604120513958446
2005-01-19,0.005133697740380896,0.0049823205357771875,-0.011661618493535059,-0.011309462455426977
2005-01-20,0.005733753034654895,0.0058665106451748945,-0.013057555851676327,-0.01336639623667227
2005-01-21,0.005955405012937679,0.0062353979653660095,-0.01357319546013143,-0.014224556469759493
2005-01-24,0.006255177473618883,0.006165071368436998,-0.014270570486733138,-0.01406095234050516
2005-01-25,0.006012398714940215,0.005967174606434661,-0.013705782637618746,-0.013600575628941456
2005-01-26,0.005803936942448633,0.0057847997480089675,-0.013220828036364167,-0.013176308264764345
2005-01-27,0.005729794103073659,0.005643680063113365,-0.013048345999608845,-0.012848014785822148
2005-01-28,0.005525371982344674,0.005477287802368825,-0.01257278903364405,-0.012460928503782238
2005-01-31,0.005551690214075291,0.005609001633449362,-0.012634014396079087,-0.01276734069469822
2005-02-01,0.005579938571440373,0.00549953448910937,-0.01269972990218049,-0.012512682036185557
2005-02-02,0.005393447354860421,0.00535152338668233,-0.01226588645696243,-0.01216835672271997
2005-02-03,0.005213395152474264,0.005201500193976727,-0.011847022398725022,-0.011819350587312472
2005-02-04,0.0052851386856100704,0.005376966331761328,-0.012013922814511684,-0.012227545863913836
2005-02-07,0.0052295450458307155,0.0052543126737428615,-0.011884592668800788,-0.011942210787339244
2005-02-08,0.0053985759657645925,0.005552242717793053,-0.012277817390036132,-0.012635299711928302
2005-02-09,0.005222706662713477,0.005391014782503276,-0.011868684210774123,-0.012260227447430935
2005-02-10,0.005107223712278699,0.005306536802477834,-0.011600030694542214,-0.012063702278195483
2005-02-11,0.005770187325422524,0.005374059827537141,-0.013142314686545788,-0.012220784323991008
2005-02-14,0.005817201070012196,0.00529306501848406,-0.01325168501132267,-0.01203236222214203
2005-02-15,0.005825606183488525,0.005208428917549788,-0.0132712382291894,-0.01183546920866648
2005-02-16,0.00562596632693736,0.005070376350529249,-0.012806806473327777,-0.01151431091287237
2005-02-17,0.005473012546319414,0.004949811209568106,-0.012450982770960711,-0.01123383445351398
2005-02-18,0.005430236037405456,0.00503471396139073,-0.012351469730389836,-0.011431347789716757
2005-02-21,0.005459679318308537,0.004962865147375179,-0.012419965044323505,-0.011264202453979326
2005-02-22,0.005276662194939092,0.004840365173376254,-0.011994203548459927,-0.010979224899896866
